                                                                   123456 1234  123  1234
24015KAKO AKO2019041102350935  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102360936  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102370937  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102380938  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102390939  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102400940  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102410941  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102420942  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102430943  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102440944  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102450945  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102460946  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102470947  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102480948  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102490949  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102500950  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102510951  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102520952  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102530953  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102540954  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102550955  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102560956  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102570957  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102580958  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041102590959  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041103001000  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041103021002  [   M  ] M                               M    M    M    M                            10001111000
24015KAKO AKO2019041103031003  [   M  ] M                               M    M    M    M                            10001111000
