date(yyyymmdd),hour,minute,5-min dir,5-min speed
20190302,17,40, 77,  7.65
20190302,17,45, 84,  8.16
20190302,17,50, 77,  6.63
20190302,17,55, 82,  8.67
20190302,17,60, 84,  8.16
20190302,18, 5, 76,  8.16
20190302,18,10, 94,  7.14
20190302,18,15, 90,  6.63
20190302,18,20, 89,  6.63
20190302,18,25, 83,  8.16
20190302,18,30, 86,  6.63
20190302,18,35, 92,  6.63
20190302,18,40, 87,  6.12
20190302,18,45, 98,  6.63
20190302,18,50, 89,  7.14
20190302,18,55, 94,  6.63
20190302,18,60, 89,  7.14
20190302,19, 5, 89,  6.63
20190302,19,10, 92,  6.63
20190302,19,15, 83,  6.63
20190302,19,20, 93,  6.12
20190302,19,25, 78,  6.63
20190302,19,30, 57,  8.67
20190302,19,35, 64,  8.67
20190302,19,40, 64,  8.67
20190302,19,45, 71,  9.69
20190302,19,50, 69,  8.67
20190302,19,55, 71,  9.18
20190302,19,60, 67,  9.18
20190302,20, 5, 71,  8.16
20190302,20,10, 70,  8.16
20190302,20,15, 70,  6.63
20190302,20,20, 67,  8.16
20190302,20,25, 67,  9.18
20190302,20,30, 70, 10.20
20190302,20,35, 66,  9.69
20190302,20,40, 74,  8.67
20190302,20,45, 74,  7.65
20190302,20,50, 80,  8.67
20190302,20,55, 83,  9.18
20190302,20,60, 82,  9.18
20190302,21, 5, 83,  7.65
20190302,21,10, 80,  6.63
20190302,21,15, 77,  8.67
20190302,21,20, 81,  8.16
20190302,21,25, 73,  8.16
20190302,21,30, 66,  9.18
20190302,21,35, 64,  8.16
20190302,21,40, 52,  7.65
20190302,21,45, 52,  6.12
20190302,21,50, 46,  8.16
20190302,21,55, 52,  8.16
20190302,21,60, 58,  7.14
20190302,22, 5, 57,  6.12
20190302,22,10, 68,  7.14
20190302,22,15, 72,  6.63
20190302,22,20, 74,  7.14
20190302,22,25, 72,  6.12
20190302,22,30, 59,  6.12
20190302,22,35, 66,  6.12
20190302,22,40, 61,  6.12
20190302,22,45, 56,  5.61
20190302,22,50, 57,  7.14
20190302,22,55, 63,  7.14
20190302,22,60, 63,  6.12
20190302,23, 5, 64,  7.14
20190302,23,10, 61,  5.61
20190302,23,15, 52,  7.14
20190302,23,20, 53,  7.14
20190302,23,25, 51,  6.63
20190302,23,30, 58,  7.65
20190302,23,35, 64,  6.63
20190302,23,40, 50,  7.14
20190302,23,45, 64,  6.12
20190302,23,50, 63,  5.61
20190302,23,55, 63,  6.12
20190302,23,60, 56,  6.63
20190302,24, 5, 59,  5.10
20190302,24,10, 64,  6.63
20190302,24,15, 61,  6.63
20190302,24,20, 68,  6.63
20190302,24,25, 57,  5.61
20190302,24,30, 56,  6.63
20190302,24,35, 64,  6.63
20190302,24,40, 59,  6.63
20190302,24,45, 57,  6.63
20190302,24,50, 72,  6.63
20190302,24,55, 57,  5.10
20190302,24,60, 56,  6.12
20190303, 1, 5, 60,  6.63
20190303, 1,10, 64,  6.63
20190303, 1,15, 62,  6.63
20190303, 1,20, 74,  6.63
20190303, 1,25, 58,  6.12
20190303, 1,30, 58,  5.61
20190303, 1,35, 73,  6.63
20190303, 1,40, 67,  6.12
20190303, 1,45, 64,  4.59
20190303, 1,50, 46,  5.61
20190303, 1,55, 56,  5.61
20190303, 1,60, 58,  6.12
20190303, 2, 5, 72,  5.10
20190303, 2,10, 72,  4.08
20190303, 2,15, 69,  5.10
20190303, 2,20, 68,  5.10
20190303, 2,25, 58,  3.57
20190303, 2,30, 71,  4.59
20190303, 2,35, 56,  4.59
20190303, 2,40, 37,  4.59
20190303, 2,45, 38,  5.10
20190303, 2,50, 37,  5.10
20190303, 2,55, 47,  4.59
20190303, 2,60, 53,  4.08
20190303, 3, 5, 36,  4.59
20190303, 3,10, 40,  4.08
20190303, 3,15, 42,  4.08
20190303, 3,20, 42,  4.59
20190303, 3,25, 41,  4.59
20190303, 3,30, 43,  4.59
20190303, 3,35, 38,  5.61
20190303, 3,40, 54,  4.59
20190303, 3,45, 51,  4.08
20190303, 3,50, 58,  3.57
20190303, 3,55, 54,  3.57
20190303, 3,60, 41,  4.59
20190303, 4, 5, 38,  4.59
20190303, 4,10, 48,  4.08
20190303, 4,15, 49,  3.57
20190303, 4,20, 46,  3.57
20190303, 4,25, 51,  3.57
20190303, 4,30, 27,  3.06
20190303, 4,35, 19,  4.08
20190303, 4,40, 24,  3.57
20190303, 4,45, 34,  3.57
20190303, 4,50, 19,  3.06
20190303, 4,55, 26,  4.59
20190303, 4,60, 26,  4.08
20190303, 5, 5, 40,  3.57
20190303, 5,10, 38,  3.57
20190303, 5,15, 44,  3.57
20190303, 5,20, 50,  3.06
20190303, 5,25, 48,  2.55
20190303, 5,30, 41,  3.06
20190303, 5,35, 38,  3.06
20190303, 5,40, 52,  3.06
20190303, 5,45, 42,  3.57
20190303, 5,50, 43,  3.06
20190303, 5,55, 44,  3.57
20190303, 5,60, 32,  3.57
20190303, 6, 5, 33,  4.59
20190303, 6,10, 16,  3.57
20190303, 6,15, 21,  3.57
20190303, 6,20, 33,  3.06
20190303, 6,25, 37,  3.57
20190303, 6,30, 44,  3.57
20190303, 6,35, 39,  4.08
20190303, 6,40, 31,  3.57
20190303, 6,45, 36,  4.08
20190303, 6,50, 44,  3.57
20190303, 6,55, 37,  3.06
20190303, 6,60, 38,  3.06
20190303, 7, 5, 36,  2.55
20190303, 7,10, 43,  3.06
20190303, 7,15, 46,  2.55
20190303, 7,20, 38,  2.55
20190303, 7,25, 40,  3.06
20190303, 7,30, 37,  3.06
20190303, 7,35, 52,  3.06
20190303, 7,40, 40,  3.06
20190303, 7,45, 39,  2.55
20190303, 7,50, 46,  2.55
20190303, 7,55, 63,  2.04
20190303, 7,60, 64,  2.04
20190303, 8, 5, 69,  1.53
20190303, 8,10, 61,  2.04
20190303, 8,40, 90,  1.53
20190303, 8,45, 62,  1.53
20190303, 8,50, 17,  2.04
20190303, 8,55, 44,  2.55
20190303, 8,60, 40,  2.55
20190303, 9, 5, 61,  2.04
20190303, 9,10, 41,  2.04
20190303, 9,15, 38,  1.53
20190303, 9,20, 76,  2.55
20190303, 9,25, 77,  2.55
20190303, 9,30, 74,  2.04
20190303, 9,35, 62,  2.04
20190303, 9,40, 67,  2.04
20190303, 9,50, 21,  2.04
20190303, 9,55, 34,  2.55
20190303, 9,60, 57,  1.53
20190303,10, 5, 34,  2.04
20190303,10,10,338,  3.06
20190303,10,15,344,  3.06
20190303,10,20,339,  2.55
20190303,10,25,346,  2.04
20190303,10,30,348,  3.06
20190303,10,35,323,  2.04
20190303,10,45,  3,  2.04
20190303,10,50,342,  2.04
20190303,10,55,336,  2.04
20190303,10,60,331,  2.55
20190303,11,10,356,  1.53
20190303,11,15,318,  2.04
20190303,11,20,  3,  2.55
20190303,11,30,360,  2.55
20190303,11,35, 27,  1.53
20190303,11,45,316,  2.55
20190303,11,50,303,  2.04
20190303,11,55,352,  2.04
20190303,11,60,349,  2.55
20190303,12, 5, 39,  2.04
20190303,12,15,324,  2.04
20190303,12,20,356,  2.04
20190303,12,25, 19,  1.53
20190303,12,30,323,  1.53
20190303,12,45,320,  2.55
20190303,12,50,344,  2.04
20190303,12,60,324,  2.55
20190303,13, 5,332,  2.04
20190303,13,10,323,  2.04
20190303,13,15,311,  2.55
20190303,13,20,330,  3.57
20190303,13,25,326,  3.06
20190303,13,30,339,  3.06
20190303,13,40,322,  2.55
20190303,13,45,337,  2.55
20190303,13,50,  9,  3.06
20190303,13,55,353,  2.55
20190303,13,60,340,  2.55
20190303,14, 5,354,  3.06
20190303,14,10,341,  3.57
20190303,14,15,337,  4.08
20190303,14,20,343,  3.06
20190303,14,25,354,  4.08
20190303,14,30,352,  3.57
20190303,14,35,358,  4.08
20190303,14,40,351,  4.08
20190303,14,45,360,  4.08
20190303,14,50, 20,  3.06
20190303,14,55,354,  3.57
20190303,14,60,346,  3.57
20190303,15, 5,348,  3.57
20190303,15,10,349,  3.06
20190303,15,15,351,  3.06
20190303,15,20,358,  2.55
20190303,15,25,328,  3.06
20190303,15,30,343,  3.06
20190303,15,35,350,  2.04
20190303,15,40,350,  2.55
20190303,15,45, 13,  3.57
20190303,15,50,  1,  3.06
20190303,15,55, 12,  2.55
20190303,15,60,343,  3.06
20190303,16, 5,340,  3.57
20190303,16,10,337,  3.06
20190303,16,15,347,  2.55
20190303,16,20,  1,  3.06
20190303,16,25,348,  2.55
20190303,16,30,347,  3.57
20190303,16,35,351,  2.55
20190303,16,40,340,  3.06
20190303,16,45,337,  3.57
20190303,16,50,342,  3.57
20190303,16,55,353,  3.57
20190303,16,60,338,  3.57
20190303,17, 5,343,  3.57
20190303,17,10,337,  3.06
20190303,17,15,343,  3.06
20190303,17,20,336,  3.06
20190303,17,25,334,  3.06
20190303,17,30,332,  3.06
20190303,17,35,320,  3.06
20190303,17,40,317,  2.55
20190303,17,45,314,  3.06
20190303,17,50,307,  3.06
20190303,17,55,312,  3.06
20190303,17,60,314,  3.06
20190303,18, 5,296,  2.55
20190303,18,10,324,  3.06
20190303,18,15,310,  2.04
20190303,18,20,309,  2.55
20190303,18,25,323,  2.55
20190303,18,30,316,  3.06
20190303,18,35,322,  3.06
20190303,18,40,327,  2.55
20190303,18,45,318,  2.55
20190303,18,50,319,  2.55
20190303,18,55,324,  2.55
20190303,18,60,319,  3.06
20190303,19, 5,319,  3.06
20190303,19,10,322,  3.06
20190303,19,15,313,  2.55
20190303,19,20,303,  2.55
20190303,19,25,288,  2.55
20190303,19,30,287,  3.06
20190303,19,35,294,  3.06
20190303,19,40,294,  3.06
20190303,19,45,291,  2.55
20190303,19,50,289,  2.55
20190303,19,55,281,  2.55
20190303,19,60,277,  2.55
20190303,20, 5,281,  2.55
20190303,20,10,270,  3.06
20190303,20,15,270,  3.06
20190303,20,20,267,  3.06
20190303,20,25,267,  3.57
20190303,20,30,270,  3.57
20190303,20,35,276,  3.57
20190303,20,40,274,  3.57
20190303,20,45,284,  3.06
20190303,20,50,280,  3.57
20190303,20,55,283,  3.06
20190303,20,60,282,  3.06
20190303,21, 5,293,  3.06
20190303,21,10,290,  3.06
20190303,21,15,287,  3.57
20190303,21,20,291,  3.57
20190303,21,25,293,  3.06
20190303,21,30,276,  2.55
20190303,21,35,294,  3.06
20190303,21,40,282,  3.06
20190303,21,45,282,  3.06
20190303,21,50,276,  3.06
20190303,21,55,272,  3.57
20190303,21,60,278,  3.57
20190303,22, 5,277,  3.57
20190303,22,10,278,  3.57
20190303,22,15,282,  3.57
20190303,22,20,284,  3.06
20190303,22,25,282,  3.57
20190303,22,30,289,  3.57
20190303,22,35,286,  3.57
20190303,22,40,281,  2.55
20190303,22,45,266,  2.04
20190303,22,50,277,  2.04
20190303,22,55,293,  2.04
20190303,22,60,273,  2.04
20190303,23, 5,294,  2.55
20190303,23,10,261,  2.04
20190303,23,15,282,  2.04
20190303,23,20,293,  3.06
20190303,23,25,291,  3.06
20190303,23,30,288,  3.57
20190303,23,35,284,  3.06
20190303,23,40,290,  3.57
20190303,23,45,294,  3.57
20190303,23,50,303,  4.08
20190303,23,55,293,  3.57
20190303,23,60,276,  3.06
20190303,24, 5,279,  3.57
20190303,24,10,294,  3.57
20190303,24,15,281,  3.57
20190303,24,20,278,  3.57
20190303,24,25,267,  4.08
20190303,24,30,266,  4.08
20190303,24,35,274,  4.08
20190303,24,40,269,  5.10
20190303,24,45,267,  5.10
20190303,24,50,262,  4.59
20190303,24,55,267,  4.59
20190303,24,60,256,  4.08
20190304, 1, 5,260,  4.08
20190304, 1,10,254,  4.59
20190304, 1,15,252,  5.10
20190304, 1,20,254,  5.10
20190304, 1,25,258,  5.10
20190304, 1,30,268,  4.08
20190304, 1,35,273,  4.59
20190304, 1,40,257,  5.10
20190304, 1,45,264,  5.61
20190304, 1,50,256,  5.10
20190304, 1,55,256,  4.08
20190304, 1,60,258,  5.10
20190304, 2, 5,262,  5.10
20190304, 2,10,272,  4.59
20190304, 2,15,259,  4.08
20190304, 2,20,258,  4.59
20190304, 2,25,258,  5.10
20190304, 2,30,261,  4.59
20190304, 2,35,256,  4.08
20190304, 2,40,257,  4.08
20190304, 2,45,268,  4.08
20190304, 2,50,267,  4.59
20190304, 2,55,267,  5.10
20190304, 2,60,283,  5.61
20190304, 3, 5,276,  6.12
20190304, 3,10,280,  5.61
20190304, 3,15,272,  5.61
20190304, 3,20,272,  5.10
20190304, 3,25,271,  5.10
20190304, 3,30,283,  5.10
